time,text,user,fav_n,rt_n,total_fav_rt,text_preview
Wed May 29 23:01:43 +0000 2013,@LaurenWard08 unfavorite...,ASpannbauer,0,0,0,@LaurenWard08 unfavo...
Wed May 29 21:39:02 +0000 2013,So who's turn is it to invite me to a party? #seriously,ASpannbauer,1,0,1,So who's turn is it ...
Tue May 28 17:57:01 +0000 2013,@EwinPers #jealous,ASpannbauer,1,0,1,@EwinPers #jealous...
Fri May 24 19:07:15 +0000 2013,Gonna be a good day http://t.co/hsOCLVP3Kq,ASpannbauer,1,1,2,Gonna be a good day ...
Thu May 23 15:31:47 +0000 2013,The result of my second swing of the summer... http://t.co/pSCk0tTPaS,ASpannbauer,0,0,0,The result of my sec...
Tue May 21 17:32:50 +0000 2013,Tired of losing arm wrestling matches to @LaurenWard08 so I'm startin to work out #gettinghardcore,ASpannbauer,3,1,4,Tired of losing arm ...
Sun May 19 23:47:09 +0000 2013,Graduation is boring..... http://t.co/x4D7eLPD0K,ASpannbauer,1,0,1,Graduation is boring...
Sun May 19 06:56:54 +0000 2013,Being 3rd in line at a gas station at 3am... #maryvillegoinghard,ASpannbauer,2,0,2,Being 3rd in line at...
Sat May 18 15:03:37 +0000 2013,"RIP
ğŸ’ªğŸ˜¬ğŸ‘
       I
      /\ 
@LaurenWard08",ASpannbauer,1,0,1,"RIP
ğŸ’ªğŸ˜¬ğŸ‘
       I
   ..."
Tue May 14 16:59:35 +0000 2013,@Alexis92Nicole how did i let you down?,ASpannbauer,2,0,2,@Alexis92Nicole how ...
Tue May 14 04:36:05 +0000 2013,#blackpearl #notapirate,ASpannbauer,0,0,0,#blackpearl #notapir...
Sat May 11 13:19:52 +0000 2013,Jammin entering apps to #ownthesummer @mattjdixon,ASpannbauer,0,0,0,Jammin entering apps...
Sat May 11 03:31:11 +0000 2013,Shotski not @Deckness weak style,ASpannbauer,0,0,0,Shotski not @Decknes...
Fri May 10 13:25:06 +0000 2013,Part of a balanced nreakfast http://t.co/1aPPLHovid,ASpannbauer,1,0,1,Part of a balanced n...
Mon May 06 21:40:15 +0000 2013,@natty_deck @Deckness open bar?,ASpannbauer,1,0,1,@natty_deck @Decknes...
Wed May 01 20:55:29 +0000 2013,Happy BDay to Papa Spann &amp; Momma Joan! #supposedtobeflickering https://t.co/ckdk29cDHn,ASpannbauer,0,0,0,Happy BDay to Papa S...
Sun Apr 28 20:34:12 +0000 2013,Get to twitch.tv\rapidplaygamers and watch @Deckness in semis of smash commentary by @_mharp and @Cole_BFK,ASpannbauer,2,1,3,Get to twitch.tv\rap...
Sun Apr 28 18:22:43 +0000 2013,twitch.tv\rapidplaygamers,ASpannbauer,1,1,2,twitch.tv\rapidplayg...
Sun Apr 28 03:57:09 +0000 2013,@Alexis92Nicole #stophating,ASpannbauer,0,0,0,@Alexis92Nicole #sto...
Sun Apr 28 03:45:25 +0000 2013,@jpbraxton22 ridin around &amp; gettin it,ASpannbauer,1,0,1,@jpbraxton22 ridin a...
Sun Apr 28 03:38:51 +0000 2013,@jpbraxton22 riding around no exit doors,ASpannbauer,1,0,1,@jpbraxton22 riding ...
Sun Apr 28 03:19:19 +0000 2013,#nowplaying @TheSquirrelSkin,ASpannbauer,0,1,1,#nowplaying @TheSqui...
Sun Apr 28 01:36:24 +0000 2013,Nash. Smash. Rash. #imeanrage,ASpannbauer,0,0,0,Nash. Smash. Rash. #...
Sat Apr 27 03:50:19 +0000 2013,https://t.co/8yj9iky0eO,ASpannbauer,0,0,0,https://t.co/8yj9iky...
Fri Apr 26 19:00:34 +0000 2013,"@scottiejohn ""The comradery  was palpable; team spirit was soaring on the wings of bird goals""",ASpannbauer,1,0,1,"@scottiejohn ""The co..."
Fri Apr 26 17:04:52 +0000 2013,You don't know will power until you have to stop midstream #survivor,ASpannbauer,0,1,1,You don't know will ...
Wed Apr 24 13:33:35 +0000 2013,@ducidni got Mad Solar on repeat in my head #lovinit,ASpannbauer,0,0,0,@ducidni got Mad Sol...
Wed Apr 24 13:20:50 +0000 2013,@scottiejohn dnt use the letter O in dnt,ASpannbauer,0,0,0,@scottiejohn dnt use...
Tue Apr 23 23:15:39 +0000 2013,Can't touch my sock game #swagarooni http://t.co/wsBPBIygOL,ASpannbauer,0,0,0,Can't touch my sock ...
Tue Apr 23 16:38:25 +0000 2013,Blanked on a question for my math test today and decided to write a proof for why I deserve to get 8 bonus points #hopeful,ASpannbauer,1,0,1,Blanked on a questio...
Mon Apr 22 16:07:39 +0000 2013,@hannah_rector ill be sure to keep up the good work! #presumptuous,ASpannbauer,1,0,1,@hannah_rector ill b...
Sat Apr 20 13:25:47 +0000 2013,So I shaved I Nike swoosh into my neck beard before heading to work today... http://t.co/PSZVMUBBlc,ASpannbauer,1,0,1,So I shaved I Nike s...
Wed Apr 17 22:02:24 +0000 2013,@ducidni keep the music coming! #unfuckwittable albums http://t.co/qkbD4SrVM9,ASpannbauer,0,0,0,@ducidni keep the mu...
Wed Apr 17 17:55:24 +0000 2013,Goodie bag day in my human sexuality class!! Wooooo,ASpannbauer,1,0,1,Goodie bag day in my...
Tue Apr 16 14:26:56 +0000 2013,@_mharp http://t.co/ccnbeBG7AM,ASpannbauer,2,1,3,@_mharp http://t.co/...
Mon Apr 15 13:42:56 +0000 2013,Just got told by a rando coworker that my beard was creeping him out #timetoshave,ASpannbauer,1,0,1,Just got told by a r...
Mon Apr 15 01:16:42 +0000 2013,"@scottiejohn â€œTis my opinion every man cheats in his own way, and he is only honest who is not discoveredâ€",ASpannbauer,0,0,0,@scottiejohn â€œTis my...
Mon Apr 15 01:03:04 +0000 2013,Chillin watching food network #bolted,ASpannbauer,0,0,0,Chillin watching foo...
Sat Apr 13 00:26:00 +0000 2013,#toomanydrinkvines https://t.co/Cey6q8u3Rq,ASpannbauer,0,0,0,#toomanydrinkvines h...
Fri Apr 12 12:35:44 +0000 2013,Where I work...  the president is the guy going hardest http://t.co/tKaP43xfcv,ASpannbauer,0,0,0,Where I work...  the...
Thu Apr 11 18:39:39 +0000 2013,@Deckness @natty_deck #ANaturalLight,ASpannbauer,1,0,1,@Deckness @natty_dec...
Thu Apr 11 01:09:56 +0000 2013,#burnbabyburn,ASpannbauer,0,0,0,#burnbabyburn...
Tue Apr 09 23:17:12 +0000 2013,Praise to the lord of the sad and lonely! @ducidni Indicud is the shit,ASpannbauer,1,0,1,Praise to the lord o...
Mon Apr 08 16:21:08 +0000 2013,@lizzsimmons @monicabezz false,ASpannbauer,0,0,0,@lizzsimmons @monica...
Sun Apr 07 16:45:53 +0000 2013,#bdubs https://t.co/yoSAEEs0px,ASpannbauer,0,0,0,#bdubs https://t.co/...
Sun Apr 07 16:38:26 +0000 2013,Happy @LaurenWard08 Day everyone!,ASpannbauer,0,0,0,Happy @LaurenWard08 ...
Sun Apr 07 15:00:13 +0000 2013,Soccer tennis! #join-in,ASpannbauer,0,0,0,Soccer tennis! #join...
Fri Apr 05 21:36:05 +0000 2013,@scottiejohn get some touches in man #LetsGooooo,ASpannbauer,0,0,0,@scottiejohn get som...
Fri Apr 05 21:30:24 +0000 2013,@scottiejohn kick one around? Mon I #yolonola,ASpannbauer,1,0,1,@scottiejohn kick on...
Tue Apr 02 11:41:27 +0000 2013,Early morning grind blaring @ducidni new single Girls #preorder #magic #april23,ASpannbauer,0,0,0,Early morning grind ...
Tue Apr 02 03:07:02 +0000 2013,Testing out my designer skills on an MC tank #gucciaintgotnothin http://t.co/uYEJ8kX6b7,ASpannbauer,0,2,2,Testing out my desig...
Mon Apr 01 01:54:57 +0000 2013,Ready for another dose of the dopeness #indicud #april23 @ducidni,ASpannbauer,0,0,0,Ready for another do...
Mon Apr 01 01:04:51 +0000 2013,Thesis #thingsthatcansuckit,ASpannbauer,1,0,1,Thesis #thingsthatca...
Sun Mar 31 01:30:09 +0000 2013,SSX #gettricky #gettrippy,ASpannbauer,1,0,1,SSX #gettricky #gett...
Fri Mar 29 11:36:19 +0000 2013,#frontporchbreakfastblend,ASpannbauer,0,0,0,#frontporchbreakfast...
Wed Mar 27 20:17:52 +0000 2013,First day of spring 11s #LetsGooooo #scots,ASpannbauer,0,0,0,First day of spring ...
Wed Mar 27 12:11:51 +0000 2013,Working on #goodfriday,ASpannbauer,0,0,0,Working on #goodfrid...
Tue Mar 26 00:57:37 +0000 2013,@LaurenWard08 #yabish,ASpannbauer,1,0,1,@LaurenWard08 #yabis...
Mon Mar 25 13:27:45 +0000 2013,Definitely did not miss waking up for work #eyeshalfopen,ASpannbauer,0,0,0,Definitely did not m...
Sun Mar 24 14:56:32 +0000 2013,@syodes19 @scottiejohn do you like lettuce?,ASpannbauer,0,0,0,@syodes19 @scottiejo...
Sat Mar 23 15:11:32 +0000 2013,"Just listened to MOTM and MOTM2 straight through, ready for @ducidni to drop the third!! #indicud",ASpannbauer,0,0,0,Just listened to MOT...
Fri Mar 22 23:19:40 +0000 2013,http://t.co/HijCTWRpAr,ASpannbauer,2,0,2,http://t.co/HijCTWRp...
Fri Mar 22 20:34:40 +0000 2013,Mystical ish #malaga http://t.co/WPdw3HVXcz,ASpannbauer,1,0,1,Mystical ish #malaga...
Fri Mar 22 17:08:52 +0000 2013,Kicked out of #malaga,ASpannbauer,1,1,2,Kicked out of #malag...
Wed Mar 20 08:17:54 +0000 2013,http://t.co/5attzzn4yX,ASpannbauer,1,0,1,http://t.co/5attzzn4...
Wed Mar 20 06:16:58 +0000 2013,Sweatin again,ASpannbauer,1,0,1,Sweatin again...
Wed Mar 20 02:59:45 +0000 2013,@pheebs22leo @louisvuitton954 I was thinking the same,ASpannbauer,0,1,1,@pheebs22leo @louisv...
Wed Mar 20 00:29:44 +0000 2013,I'm sweatin @Deckness,ASpannbauer,1,0,1,I'm sweatin @Decknes...
Tue Mar 19 23:32:44 +0000 2013,Welcome to the new age,ASpannbauer,2,0,2,Welcome to the new a...
Tue Mar 19 03:42:34 +0000 2013,You only YOLO once. Yoyo,ASpannbauer,0,0,0,You only YOLO once. ...
Tue Mar 19 03:18:16 +0000 2013,@Alexis92Nicole you wish,ASpannbauer,0,0,0,@Alexis92Nicole you ...
Tue Mar 19 02:55:13 +0000 2013,@Alexis92Nicole bull,ASpannbauer,0,0,0,@Alexis92Nicole bull...
Mon Mar 18 23:43:40 +0000 2013,David stern ain't got bothing,ASpannbauer,0,0,0,David stern ain't go...
Mon Mar 18 19:36:30 +0000 2013,Ledge http://t.co/uYgx5ZjRkN,ASpannbauer,1,0,1,Ledge http://t.co/uY...
Mon Mar 18 18:15:29 +0000 2013,how do you know you know if you don't know,ASpannbauer,1,0,1,how do you know you ...
Mon Mar 18 05:45:35 +0000 2013,@Hoodway bitches,ASpannbauer,0,0,0,@Hoodway bitches...
Mon Mar 18 01:45:24 +0000 2013,Strippas @therealjuicyj,ASpannbauer,1,0,1,Strippas @therealjui...
Sun Mar 17 22:59:06 +0000 2013,Gambling son http://t.co/1dNKT9T3tf,ASpannbauer,1,0,1,Gambling son http://...
Sun Mar 17 16:41:39 +0000 2013,@Alexis92Nicole quit embarrassing me in front of my friends!,ASpannbauer,1,0,1,@Alexis92Nicole quit...
Sun Mar 17 16:32:21 +0000 2013,Back to business #withthehomies,ASpannbauer,0,0,0,Back to business #wi...
Sun Mar 17 15:42:06 +0000 2013,@Ashley2howarth @alexis92nicole weak!,ASpannbauer,0,0,0,@Ashley2howarth @ale...
Sat Mar 16 20:06:58 +0000 2013,No one like big Gert #SpringBreakWhip,ASpannbauer,1,0,1,No one like big Gert...
Sat Mar 16 17:36:33 +0000 2013,"Usually I'm a sober soul, but shit, I'm with the homies #SpringBreakWhip",ASpannbauer,1,0,1,Usually I'm a sober ...
Fri Mar 15 19:49:14 +0000 2013,"Bringing 3 pairs of shoes on spring break, and 2 pair are sperrys #tfm",ASpannbauer,0,0,0,Bringing 3 pairs of ...
Fri Mar 15 18:55:34 +0000 2013,#sb2k13,ASpannbauer,1,0,1,#sb2k13...
Wed Mar 13 12:55:49 +0000 2013,"3 hours of work, 3 classes, 1 test, 2 days #SBcountdown",ASpannbauer,0,0,0,"3 hours of work, 3 c..."
Mon Mar 11 11:28:43 +0000 2013,Early morning grind #upandatem,ASpannbauer,0,0,0,Early morning grind ...
Sun Mar 10 17:13:33 +0000 2013,#DADS,ASpannbauer,2,0,2,#DADS...
Thu Mar 07 19:58:41 +0000 2013,"3 tests, a lab report, and 6hrs of math homework later...done with school work. Time to celebrate anniversary with @LaurenWard08 #2years",ASpannbauer,1,0,1,"3 tests, a lab repor..."
Thu Mar 07 15:38:29 +0000 2013,Light at the end of the tunnel in sight,ASpannbauer,1,0,1,Light at the end of ...
Wed Mar 06 12:14:31 +0000 2013,Waking up to snow covered campus twice in 5 days.... #SpringBreak coming soon,ASpannbauer,0,0,0,Waking up to snow co...
Mon Mar 04 13:15:56 +0000 2013,http://t.co/VKhW6PTeyi,ASpannbauer,0,0,0,http://t.co/VKhW6PTe...
Mon Mar 04 13:15:15 +0000 2013,Very tempting to go down and see @ducidni and @kendricklamar,ASpannbauer,0,0,0,Very tempting to go ...
Sun Mar 03 05:17:05 +0000 2013,Turnt,ASpannbauer,0,0,0,Turnt...
Thu Feb 28 15:42:31 +0000 2013,Surprise Starbucks in the morning from @LaurenWard08 not a latte more I can ask for #GotHeem,ASpannbauer,2,0,2,Surprise Starbucks i...
Sun Feb 24 22:27:42 +0000 2013,Casa de Los Casanovas #1110,ASpannbauer,0,0,0,Casa de Los Casanova...
Sun Feb 24 07:17:52 +0000 2013,#turnt,ASpannbauer,0,0,0,#turnt...
Mon Feb 18 15:18:41 +0000 2013,New board for a competition at work #ssb http://t.co/zYQhFBVo,ASpannbauer,0,0,0,New board for a comp...
Sat Feb 16 05:30:22 +0000 2013,@joelvp2  http://t.co/ZfnPFlOE,ASpannbauer,0,0,0,@joelvp2  http://t.c...
Fri Feb 15 01:29:29 +0000 2013,Wish I could hibernate after a day like this #damnluckybears,ASpannbauer,0,0,0,Wish I could hiberna...
Mon Feb 11 14:14:20 +0000 2013,Way too tired #napday,ASpannbauer,0,0,0,Way too tired #napda...
Thu Feb 07 20:21:58 +0000 2013,Celebrating the bday @ducidni style tonight #dennishookmeup http://t.co/rP0v36BF,ASpannbauer,0,0,0,Celebrating the bday...
Sun Feb 03 07:52:23 +0000 2013,I know such a great girl ( @LaurenWard08 ) sorry @Alexis92Nicole super close segundo,ASpannbauer,1,2,3,I know such a great ...
Fri Feb 01 14:48:12 +0000 2013,5days 14hours 11minutes,ASpannbauer,2,0,2,5days 14hours 11minu...
Wed Jan 30 22:42:57 +0000 2013,happy birthday @ducidni,ASpannbauer,0,0,0,happy birthday @duci...
Tue Jan 29 01:41:54 +0000 2013,#solodolo #hedwig,ASpannbauer,3,0,3,#solodolo #hedwig...
Wed Jan 09 18:18:17 +0000 2013,Best delivery girl ever @LaurenWard08,ASpannbauer,0,0,0,Best delivery girl e...
Wed Jan 09 06:13:21 +0000 2013,If ya ain't going hard then why ya going at all,ASpannbauer,0,0,0,If ya ain't going ha...
Wed Jan 09 00:47:58 +0000 2013,@Alexis92Nicole just living the dream #hatersgonnahate,ASpannbauer,0,0,0,@Alexis92Nicole just...
Tue Jan 08 20:43:54 +0000 2013,Boring day at work #bringinghomethebacon,ASpannbauer,0,0,0,Boring day at work #...
Sun Jan 06 20:51:16 +0000 2013,#homesweethome,ASpannbauer,0,0,0,#homesweethome...
Sun Jan 06 16:39:26 +0000 2013,Ready for jterm #mchammered,ASpannbauer,1,0,1,Ready for jterm #mch...
Tue Jan 01 21:22:16 +0000 2013,#SoloDolo @ducidni,ASpannbauer,1,0,1,#SoloDolo @ducidni...
Wed Oct 31 01:59:25 +0000 2012,Making grades..Making dollars...Making memories @joelvp2,ASpannbauer,0,0,0,Making grades..Makin...
Thu Oct 25 22:24:38 +0000 2012,@Deckness @ColeHood1 @_mharp I'd be in for sure on Friday #3g,ASpannbauer,1,0,1,@Deckness @ColeHood1...
Thu Oct 25 06:43:54 +0000 2012,@tbrackett29 for sureee,ASpannbauer,0,0,0,@tbrackett29 for sur...
Sun Oct 07 17:46:31 +0000 2012,@Deckness like the pic my man,ASpannbauer,0,0,0,@Deckness like the p...
Sun Oct 07 00:57:26 +0000 2012,#winning,ASpannbauer,0,0,0,#winning...
Fri Oct 05 13:21:33 +0000 2012,One day to the mansion #hamtime,ASpannbauer,0,1,1,One day to the mansi...
Thu Oct 04 03:13:33 +0000 2012,@seanBrahh when you start philosophizing?,ASpannbauer,0,0,0,@seanBrahh when you ...
Mon Oct 01 02:01:54 +0000 2012,I hate losing...especially like that,ASpannbauer,1,0,1,I hate losing...espe...
Sun Sep 30 17:55:33 +0000 2012,Gooaaaaallllll!! @LaurenWard08,ASpannbauer,1,0,1,Gooaaaaallllll!! @La...
Sun Sep 30 14:24:42 +0000 2012,Game day #Scots,ASpannbauer,0,0,0,Game day #Scots...
Sat Sep 29 19:13:04 +0000 2012,@Deckness word...game at three,ASpannbauer,0,0,0,@Deckness word...gam...
Sat Sep 29 17:03:14 +0000 2012,@Deckness come support your boy tm on the field...then we can celebrate the victory afterwards with @Hoodway and @tbrackett29,ASpannbauer,0,1,1,@Deckness come suppo...
Sat Sep 29 12:31:53 +0000 2012,Good luck today Scots! Wish I could be there to cheer y'all on...ps score for me @LaurenWard08 !,ASpannbauer,1,1,2,Good luck today Scot...
Wed Aug 15 13:47:19 +0000 2012,DOLLYWOOD! @LaurenWard08,ASpannbauer,0,0,0,DOLLYWOOD! @LaurenWa...
Mon Jul 30 13:56:46 +0000 2012,@linz_kar @Deckness haha wish I was there not I got ditched some how....,ASpannbauer,0,0,0,@linz_kar @Deckness ...
Sun Jul 29 05:18:33 +0000 2012,@Deckness should definitely regret bit making it here,ASpannbauer,0,0,0,@Deckness should def...
Sat Jul 28 17:53:03 +0000 2012,@Deckness you trying to start shit?,ASpannbauer,0,0,0,@Deckness you trying...
Fri Jul 27 00:22:39 +0000 2012,Bro moment @KingLouisXVI954,ASpannbauer,0,1,1,Bro moment @KingLoui...
Wed Jul 25 18:03:26 +0000 2012,@LaurenWard08 #feelgood,ASpannbauer,0,0,0,@LaurenWard08 #feelg...
Sun Jul 22 19:58:46 +0000 2012,@LaurenWard08 but still rocking the sweats,ASpannbauer,0,0,0,@LaurenWard08 but st...
Sun Jul 22 19:58:05 +0000 2012,@Deckness and ham time on the lake before...I'm taking off work,ASpannbauer,0,0,0,@Deckness and ham ti...
Sat Jul 21 04:12:40 +0000 2012,Kville from up high #hedwigs http://t.co/cHmoL6rr,ASpannbauer,0,0,0,Kville from up high ...
Mon Jul 16 18:17:53 +0000 2012,Ready to throw down @syodes19,ASpannbauer,0,0,0,Ready to throw down ...
Thu Jul 12 00:34:52 +0000 2012,Three way tie on the course with @Deckness and @_mharp,ASpannbauer,0,0,0,Three way tie on the...
Sun Jul 08 23:53:44 +0000 2012,With them wanna be #hedwigs #macanddev,ASpannbauer,0,0,0,With them wanna be #...
Fri Jul 06 21:35:52 +0000 2012,Honey I'm home!,ASpannbauer,0,0,0,Honey I'm home!...
Thu Jul 05 02:27:38 +0000 2012,#hedwigs,ASpannbauer,0,0,0,#hedwigs...
Tue Jul 03 12:52:04 +0000 2012,Happy early fourth http://t.co/zGZAAZQP,ASpannbauer,0,0,0,Happy early fourth h...
Tue Jul 03 00:08:57 +0000 2012,Turns out that iPods aren't dish washer safe...,ASpannbauer,0,0,0,Turns out that iPods...
Mon Jul 02 02:43:09 +0000 2012,Ratchet pool side wit @Deckness @CarsonColin,ASpannbauer,0,0,0,Ratchet pool side wi...
Sat Jun 30 15:25:19 +0000 2012,@LaurenWard08 Rock the docks tonight!,ASpannbauer,0,1,1,@LaurenWard08 Rock t...
Fri Jun 29 02:15:40 +0000 2012,Happy birthday @CarsonColin have a crazy night,ASpannbauer,0,0,0,Happy birthday @Cars...
Fri Jun 22 18:53:52 +0000 2012,Let's go DFB,ASpannbauer,0,0,0,Let's go DFB...
Wed Jun 20 18:09:16 +0000 2012,Bout to be out on the links with the boys after a chill day,ASpannbauer,0,0,0,Bout to be out on th...
Mon Jun 18 01:27:44 +0000 2012,@Alexis92Nicole haters gon hate,ASpannbauer,0,0,0,@Alexis92Nicole hate...
Sun Jun 17 22:42:05 +0000 2012,@LaurenWard08 my peanut butter needs jelly,ASpannbauer,1,0,1,@LaurenWard08 my pea...
